ident,nome,tipo,conteudo,res
_:b89B4D802x115229,"Ensaios sobre justiça, processo e direitos humanos",Book,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/9900625695933750#P20>,Localização de uma Agulha Magnética no Corpo Humano,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2540733672905515#P165>,Modelagem Geométrica para Elementos Finitos Usando Multi-Regiões e Superfícies Paramétricas,Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/3588568619630253#P568>,Estratégias de resistência frente à violência de gênero em territórios vulnerabilizados,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0635042395741656#P71>,"Igualdade, razão e providência: Tocqueville e o presente",Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1706093099357760#P140>,"Os programas de treinamento, desenvolvimento e educação corporativa e o nível de maturidade em gestão de pessoas: Um estudo baseado no People Capabality Matturity Model (P-CMM)",Thesis,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/1259500926303809#P353>,Non-Linear Force Control of Actuators Based on Polymeric Artificial Muscles with Capacitive Effect,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/9296271539553161#P5>,DETAILED BALANCE ANALYSIS OF CAPTURE INTO QUANTUM-WELLS,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/0243878307545882#P31>,Da Mímesis Antiga à Imitação dos Antigos,Article,sem DOI ou ementa,False
<http://nima.puc-rio.br/cad-puc#disciplinaPSI1985>,[PSI1985] ESTAGIO V,Course,Trabalhos práticos supervisionados no setor escolhido pelo aluno e com aprovação dos órgãos de coordenação acadêmica. ,False
<http://nima.puc-rio.br/cad-puc#disciplinaARQ1105>,[ARQ1105] PROJETO REVITAL/REUTILIZACAO,ccso,"Cidade, história e memória arquitetônica.  Do restauro à conservação, preservação e e recuperação de patrimônio histórico-cultural.  Noções de restauração arquitetônica. Refuncionalização e reutilização de espaços arquitetônicos e de edificações sub-utilizadas. Reciclagem nos elementos construtivos. Compatibilização de novas técnicas construtivas e novos materiais com técnicas e materiais tradicionais.  A recuperação de centros históricos.
O Projeto de Revitalização e Reutilização aborda os espaços de importância simbólica e histórica da cidade com possibilidade de aproveitamento para usos adequados ao tempo presente. Verifica a possibilidade da valorização de uma área por meio da intervenção em uma edificação em mau estado ou  abandonada. São estudados programas variados enfocando o confronto e a integração entre elementos compositivos históricos e contemporâneos. A análise da ação do tempo sobre o objeto arquitetônico, sobre sua transformação e adaptação à realidade atual é realizada visando tanto à preservação quanto à renovação. ",False
<http://www.nima.puc-rio.br/lattes/7087141060845700#P826>,Prostituição,Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/2283022405554044#P973>,"Classifying and Grouping Narratives with Convolutional Neural Networks, PCA and t-SNE",Chapter,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/8556313208288263#P343>,Polymer-coated Cationic Silica Nanoparticles for Slow-Release Pickering Emulsions,Article,10.1007/s00396-020-04639-y,False
<http://www.nima.puc-rio.br/lattes/8877272658065995#P620>,Simulação da injeção alternada de água-emulsao-agua considerando efeitos capilares em modelos de reservatórios estratificados,Thesis,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/3193977499842643#P56>,Equilíbrio baseado em dois princípios,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/7538936412559010#P1406>,A Paisagem como elemento modelador de instrumentos urbanos inovadores,Thesis,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/9354841724510632#P101>,"Sponges as biomonitors of PAH contamination in Rio de Janeiro, Brazil",Article,sem DOI ou ementa,True
<http://www.nima.puc-rio.br/lattes/2544637819098374#P45>,The Relevance Of The Fluid Dynamic Force Field Influence On The Behavior Of A Vertical Rotor With A Tilting Pad Journal Bearing,Article,sem DOI ou ementa,False
<http://www.nima.puc-rio.br/lattes/6548490343176093#P65>,Quando a diversidada é a identidade,Chapter,sem DOI ou ementa,False
